15600,16800
17160,18600
18960,20040
20880,24960
25560,26280
27360,27960
28800,30600
31200,33720
34800,37200
38040,38880
39480,42000
43080,45960
46320,48480
49440,50400
50880,52080
52680,53880
54240,55920
57120,60840
61440,61560
61920,62520
63360,64200
64560,65760
66240,72720
74040,75480
75600,76440
76680,77640
78480,80040
80280,81360
81960,83280
83760,84240
85320,86040
86280,87720
88200,90240
90720,93000
93480,94800
95040,96720
97200,98520
98880,99960
100320,101520
101640,103320
103680,104400
104760,106080
106200,106680
108000,109200
109560,110400
112320,113280
113640,113880
114600,116160
116520,116640
116760,117840
118200,118800
144360,146040
146760,150000
150120,151320
151680,153720
154560,156360
157440,159240
160320,160800
161520,163080
163320,165960
166200,167640
168240,169200
169800,170520
171240,172200
172680,173880
174000,174120
175200,176040
176280,177000
177360,178200
178560,180120
181440,182760
183600,185160
185640,186840
187560,187920
188640,192120
192720,193440
194040,195120
195720,196080
196440,197160
197760,198840
199320,199920
200640,201360
201840,202680
203280,204840
205320,205800
206400,207360
207960,209880
210240,210960
211440,212400
213360,214200
214320,214560
215160,216120
216720,217680
218400,219120
219720,220200
220800,221640
222120,223080
223320,224400
224760,225600
226320,226800
227040,228960
229320,230400
232320,233640
234360,236040
236760,237840
238320,239160
279240,280320
280680,281760
282240,282720
282840,284280
284640,285360
285840,286920
287280,288480
289320,291600
291720,291960
292080,293040
293640,294480
295320,296760
297360,298320
298440,298560
299280,299880
300000,301200
301320,301440
302280,306000
307200,307800
308400,309480
309960,310560
310680,314880
315480,316080
316440,317040
317520,320160
321480,321960
322680,323400
324120,324600
325080,326280
326880,328560
328680,329760
330480,330960
331560,332640
332760,336240
336720,337320
338280,339480
339960,340200
340800,341040
342000,342240
342360,342720
343200,344040
344160,344280
344400,344520
344640,346200
346800,348240
348720,349560
350040,350880
351480,351840
352560,352800
353640,354240
354600,355800
356160,356520
356760,357720
359880,362160
362520,364800
365640,369720
370560,371520
372960,374760
374880,377640
378120,379080
379560,381000
381720,383160
383640,384720
385080,386760
387120,389400
389640,390120
391080,392040
392520,393480
394200,395040
395280,397320
397920,398880
431040,432000
432480,434160
434880,435720
436080,437640
438120,441000
441360,444120
444360,444720
445200,445440
446160,446760
447120,447960
448440,449160
449880,451440
451920,454440
454680,455400
455760,456360
457080,458760
459480,461280
461760,461880
462240,462600
463200,463920
465960,467040
467280,468000
468600,470160
470520,471480
471720,472320
472800,473640
474120,474480
475080,476280
